Korean,English,Syn
충남도립대학교,Chungnam State University,"靑陽大學, 충남도립대학, Chungnam State University, 충남도립대, Chongyang College, 靑陽大, 忠南道立大學校, 청양대학, 忠南道立大, Chungnam Provincial Cheongyang College, 忠南道立靑陽大, 충남도립청양대, 忠南道立靑陽大學, 청양대, 충남도립청양대학, 忠南道立大學, 충남도립청양대학교"
충북대학교,Chungbuk National University,"忠北大學, 충북대, Chungbuk National University, 忠北大, 충북대학, 忠北大學校"
충북도립대학교,Chungbuk Provincial University,"충북대학교(도립), 충북대(도립), 충북도립대학, Chungbuk Provincial College, 충북대학(도립), Chungbuk Provincial University, 忠北道立大學, 충북도립대, 忠北道立大"
충북보건과학대학교,Chungbuk Health&Science University,"Chungbuk Health and Science College, 주성전문대, 忠北保健科學大學校, Jusong College, 舟城大學, 舟城大, 주성대, 주성전문대학, 忠北保健科學大學, 忠北保健科學大, 충북보건과학대학, 주성대학, Chungbuk Health & Science University, 충북보건과학대"
충주대학교,Chungju National University,"Chungju National Technical Junior College, 충주산업대학, 충주공업전문대, Chung Ju Industrial University, Chung-Ju National University, 충주산업대, 충주대학, 충주대, 충주공업전문학교, 충주공업전문대학, 충주산업대학교, 국립충주대학교"
충청대학교,Chungcheong University,"Chung Cheong University, 忠淸大, 忠淸大學, ChungCheongUniversity, 충청대, 충청대학, 忠淸大學校"
치유상담대학원대학교,Healing & Counseling Graduate University,
침례신학대학교,Korea Baptist Theological University and Seminary,한국침례신학대학교
칼빈대학교,Calvin University,"칼빈大學, 칼빈대학, 칼빈大, 칼빈大學校, 칼빈대, Calvin University"
탐라대학교,Tamla National university,"탐라대, 耽羅大學校, TAMNA UNIVERSITY, 耽羅大學, 耽羅大, 탐라대학"
평택대학교,Pyeongtaek University,"平澤大, 平澤大學, 平澤大學校, 평택대, PYEONGTAEK UNIVERSITY, 평택대학"
포항공과대학교,Pohang University of Science and Technology,"浦項工科大學, 포항공과대, 浦項工科大, 포항공대, 포항공과대학, Pohang University of Science & Technology, 浦項工科大學校, Pohang University of Science and Technology, POSTECH, 포항공과대학교(POSTECH), 포항공대학교"
포항대학교,Pohang College,"浦項大, POHANGCOLLEGE, 포항대, POHANG UNIVERSITY, 포항대학, 浦項大學校, 浦項大學"
한경대학교,Hankyong National University,"한경대(산업대), 한경대학교(산업대), Hankyong National University, 韓京大學, 한경대, 韓京大學校, 한경대학(산업대), The Graduate School of Technology, 국립한경대학교, 韓京大, 한경대학"
한국개발연구원국제정책대학원대학교,KDI School of Public Policy and Management,"한국개발연구원국제정책대학원대학, 한국개발연구원국제정책대학원대, 韓國開發硏究院國際政策大學院大學校, 韓國開發硏究院國際政策大學院大, 韓國開發硏究院國際政策大學院大學"
한국골프대학교,Korea Golf University,
한국과학기술원,Korea Advanced Institute of Science and Technology,"과기원, Korea Advanced Institute of Science and Technology, Korea Advanced Institute of Science & Technology, 카이스트, 韓國科學技術院, 한국과학원, Korea Advanced Institute of Science, KAIST, 한국과기원, 한국과학기술원(KAIST)"
한국관광대학교,Korea Tourism College,"韓國觀光大, 한국관광대, 韓國觀光大學校, 한국관광대학, 韓國觀光大學"
한국교원대학교,Korea Naitonal University of Education,"한국교원대학, 韓國敎員大, 한국교원대, 韓國敎員大學, Korea National University Of Education, 韓國敎員大學校"
충주대학교,Korea National University of Transportation,"韓國交通大學, 한국교통대, 한국교통대학, Korea National University of Transportation, 韓國交通大, 韓國交通大學校, 국립한국교통대학교"
한국국제대학교,International University of Korea,"한국국제대, 한국국제대학, 韓國國際大學校, 韓國國際大學, 韓國國際大, INTERNATIONAL UNIVERSITY OF KOREA"
한국기술교육대학교,Korea University of Technology and Education,"韓國技術敎育大學校, 한국기술교육대, Korea University of Technology and Education, 韓國技術敎育大, 한국기술교육대학, 韓國技術敎育大學, 한국기술대학교"
한국농수산대학,Korea National College of Agriculture and Fisheries,"Korea National College of Agriculture and Fisheries, 韓國農水産大學, 한국농수산대, 韓國農水産大, 국립한국농수산대학교, 국립한국농수산대학"
한국뉴욕주립대,SUNY Korea,한국뉴욕주립대학교
한국방송통신대학교,Korea National Open University,"韓國放送通信大學校, 韓國放送通信大學, 한국방송통신대학, 韓國放送通信大, korea national open university, 한국방송통신대"
한국복지대학교,Korea National University of Welfare,"한국복지대, 한국복지대학, 韓國福祉大學敎, 韓國福祉大敎, Korea National University of Welfare"
한국복지사이버대학,Corea Welfare Cyber College,
한국산업기술대학교,KOREA POLYTECHNIC UNIVERSITY,"Korea Polytechnic University, 한국산업기술대학, 韓國産業技術大, 韓國産業技術大學校, 知識基盤技術ㆍ에너지大學院, 한국산업기술대학(산업대), 한국산업기술대(산업대), 한국산업기술대, Graduate School of Knowledge-based Tech & Energy, 韓國産業技術大學, 한국산업기술대학교(산업대)"
한국상담대학원대학교,Korea Counseling Graduate University,"Korea Counseling Graduate University, 한국상담대학원대, 한국상담대학원대학"
한국성서대학교,Korean Bible University,"韓國聖書大學, 한국성서대, Korean Bible University, 韓國聖書大學校, 한국성서대학, 韓國聖書大"
한국승강기대학교,Korea Lift College,"한국승강기대, 韓國陞降機大學, 한국승강기대학, 韓國陞降機大學校, Korea Lift College, 韓國陞降機大"
한국열린사이버대학교,Open Cyber University of Korea,"한국열린사이버대학, Open Cyber University, 韓國열린사이버大學敎, 한국열린사이버대, 韓國열린사이버大敎, 열린사이버대학교, 열린사이버대학"
한국영상대학교,Korea University of Media Arts,"KOREA UNIVERSITY OF MEDIA ARTS, 한국영상대학, 韓國映像大學, 한국영상대, 韓國映像大學校, 韓國映像大"
한국예술종합학교,Korea National University of Arts,"韓國藝術綜合學校, Korea National University of Arts"
한국외국어대학교,Hankuk University of Foreign Studies,"韓國外國語大學, 한국외국어대, 한국외국어대학, 韓國外國語大, 韓國外國語大學校, HANKUK UNIVERSITY OF FOREIGN STUDIES"
한국전력국제원자력대학원대학교,KEPCO International Nuclear Graduate School,"韓國電力國際原子力大學院大學校, International Nuclear Graduate School, 韓國電力國際原子力大學院大, KEPCO International Nuclear Graduate School, 한국전력국제원자력대학원대, 韓國電力國際原子力大學院大學, 한국전력국제원자력대학원대학, 국제원자력대학원대학교"
한국전통문화대학교,Korea National University of Cultural Heritage,"Korea National University of Cultural Heritage, 한국전통문화대학, 韓國傳統文大化學校, 한국전통문화대"
한국정보통신대학교,Information and Communications University,"韓國情報通信大, 韓國情報通信大學, 한국정보통신대학, 한국정보통신대, 韓國情報通信大學校, Information and Communications University, 한국정보통신대학교(ICU)"
한국종합예술학교,Korea National University of Arts,
한국철도대학,Korea National Railroad College,"KNRC, 한국철도대, 韓國鐵道大學, 철도전문대학, 철도전문대, 韓國鐵道大, Korea National Railroad College, KoreaNationalRailroadCollege"
한국체육대학교,Korea National Sport University,"韓國體育大學校, 韓國體育大學, 韓國體育大, 한국체육대학, Korea National Sport University, 한국체육대"
한국폴리텍대학,KOREA POLYTECHNICS,"폴리텍대학교, KOREA POLYTECHNICS, 한국폴리텍대학교"
한국폴리텍특성화대학,,한국폴리텍특성화대학교
한국폴리텍I대학,,한국폴리텍I대학교
한국폴리텍II대학,,한국폴리텍II대학교
한국폴리텍III대학,,한국폴리텍III대학교
한국폴리텍IV대학,,한국폴리텍IV대학교
한국폴리텍V대학,,한국폴리텍V대학교
한국폴리텍VI대학,,한국폴리텍VI대학교
한국폴리텍VII대학,,한국폴리텍VII대학교
한국학대학원,The Graduate School of Korean Studies in the Academy of Korean Studies,Graduate School of Korean Studies
한국항공대학교,Korea Aerospace University,"韓國航空大, 韓國航空大學, 한국항공대, 한국항공대학, KOREA AEROSPACE UNIVERSITY, 국립항공대, 국립항공대학, 韓國航空大學校"
한국해양대학교,Korea Maritime and Ocean University,"韓國海洋大學, 韓國海洋大學校, 국립해양대, 한국해양대학, 國立海洋大學, Korea Marine and Ocean University, 國立海洋大學校, 국립해양대학, National Maritime University, 韓國海洋大, Korea Maritime and Ocean University, 한국해양대, 國立海洋大"
한남대학교,Hannam University,"韓南大學校, 한남대학, 한남대, 韓南大學, 韓南大, Hannam University"
한동대학교,Handong Global University,"韓東大學校, 한동대학, 한동대, Handong Global University, 韓東大, 韓東大學"
한라대학교,Halla University,"漢拏大學校, 漢拏大, 漢拏大學, 한라대학, 한라대, Halla University"
한려대학교,Hanlyo University,"Hanlyo University, 漢麗大學校, 漢麗大學, Hallyo University, 한려대, 漢麗大, 한려대학"
한림국제대학원대학교,HALLYM UNIVERSITY OF GRADUATE STUDIES,"翰林國濟大學院大, 翰林國濟大學院大學, 翰林國濟大學院大學校, 한림국제대학원대, 한림국제대학원대학"
한림대학교,Hallym University,"한림대학, 翰林大, 翰林大學校, Hallym University, hanlim university, 翰林大學, 한림대"
한림성심대학교,HALLYM POLYTECHNIC UNIVERSITY,"한림성심대학, 翰林聖心大學校, HALLYM POLYTECHNIC UNIVERSITY, 한림성심대, Hallym sungshim College, 翰林聖心大, 翰林聖心大學"
한반도국제대학원대학교,Korea University Of International Studies,"韓半島國際大學院大, Korea University Of International Studies, 韓半島國際大學院大學校, 韓半島國際大學院大學, 한반도국제대학원대학, 한반도국제대학원대"
한밭대학교,Hanbat National University,"한밭대학, 한밭대, 국립한밭대학교"
한북대학교,Hanbuk University,"韓北大學, 韓北大, 韓北大學校, 한북대, 한북대학"
한서대학교,Hanseo University,"韓瑞大, 韓瑞大學校, 韓瑞大學, 한서대, 한서대학"
한성대학교,Hansung University,"hansunguniversity, HANSUNG UNIVERSITY, 한성대학, 한성대, 漢城大學校, 漢城大學, 漢城大"
한세대학교,Hansei University,"韓世大學校, 韓世大學, 한세대, 韓世大, HANSEI UNIVERSITY, 한세대학"
한신대학교,Hanshin University,"HANSHIN UNIVERSITY, 한신대, 한신대학"
한양대학교,Hanyang University,"Hanyang University, 한양대학, 漢陽大學, 漢陽大學校, 漢陽大, 한양대, 한양대학교(ERICA)"
한양사이버대학교,Hanyang Cyber University,"HANYANG CYBER UNIVERSITY, 한양사이버대학, 한양사이버대"
한양여자대학교,Hanyang Women's University,"漢陽女子大, Hanyang Women's College, 한양여자대, 한양여자대학, 漢陽女子大學, 漢陽女子大學校"
한영대학,Hanyeong College University,"漢永大學, 한영대,  HANYEONG COLLEGE, 漢永大"
