이한호,NTIS,인하대학교 산학협력단,,
이혁재,NTIS,서울대학교산학협력단,,
인인식,NTIS,한국교통대학교,,
임동건,NTIS,한국교통대학교,,
장경영,NTIS,한양대학교,,
장래혁,NTIS,한국과학기술원,,
장수환,NTIS,단국대학교,,
장영재,NTIS,한국과학기술원,,
장익준,NTIS,경희대학교(국제캠퍼스),,
전경수,NTIS,전남도립대학교,,
전국진,NTIS,서울대학교,,
전정훈,NTIS,성균관대학교(자연과학캠퍼스),,
정귀상,NTIS,울산대학교 산학협력단,,
정기석,KCI,한양대학교,,
정기영,KCI,한국은행 경기본부 기획금융팀,,
정미숙,SCIENCEON,한국산업기술대학교 나노반도체공학과,,
정성욱,NTIS,연세대학교 산학협력단,,
정세영,NTIS,한국과학기술원,,
정연모,NTIS,경희대학교산학협력단,,
정용진,NTIS,광운대학교산학협력단,,
정인성,SCIENCEON,전자부품연구원,,
정재용,NTIS,인천대학교,,
정진태,NTIS,한양대학교(ERICA캠퍼스),,
정찬홍,NTIS,대구대학교산학협력단,,
정홍,NTIS,포항공과대학교,,
조선호,NTIS,한성대학교산학협력단,,
조성준,NTIS,이와이엘,,
주영규,NTIS,고려대학교산학협력단,,
주영훈,NTIS,군산대학교,,
채형일0,NTIS,국민대학교산학협력단,,
채형일1,NTIS,건국대학교산학협력단,,
채희성,NTIS,파인에스엔에스,,
최경현,SCIENCEON,한양대학교 기술경영전문대학원,KCI,한양대학교
최기영,NTIS,서울대학교산학협력단,,
최두원,NTIS,신라대학교,,
최성곤,NTIS,충북대학교,,
최우진,NTIS,숭실대학교,,
최재우,NTIS,경희대학교,,
최재혁,NTIS,성균관대학교(자연과학캠퍼스),,
최준림,NTIS,경북대학교,,
편영식,NTIS,선문대학교 산학협력단,,
하태준,NTIS,서울대학교산학협력단,,
한규호,NTIS,서울대학교,,
한동석,NTIS,경북대학교 산학협력단,,
한병문,NTIS,명지대학교 산학협력단,,
한혁수,SCIENCEON,상명대학교 컴퓨터과학부,KCI,상명대학교
허건수,NTIS,한양대학교산학협력단,,
허재현,NTIS,가천대학교,,
현승균,NTIS,인하대학교,,
홍성철,NTIS,한국과학기술원,,
홍영준,NTIS,세종대학교,,
홍원빈,NTIS,포항공과대학교,,
홍태환,NTIS,한국교통대학교산학협력단,,
황광선,KCI,한국과학기술기획평가원,,
황호석,SCIENCEON,(주)아이티엠반도체,,
